baker,series,episode,signature_bake,show_stopper,baker_name,baker_age,baker_occupation,hometown,technical,result
Tom,8,6,NA,NA,NA,NA,NA,NA,NA,NA
Chris,8,7,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,7,NA,NA,NA,NA,NA,NA,NA,NA
James,8,7,NA,NA,NA,NA,NA,NA,NA,NA
Julia,8,7,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,7,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,7,NA,NA,NA,NA,NA,NA,NA,NA
Chris,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,8,NA,NA,NA,NA,NA,NA,NA,NA
James,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Julia,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Yan,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Chris,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,9,NA,NA,NA,NA,NA,NA,NA,NA
James,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Julia,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Liam,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Yan,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Chris,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,10,NA,NA,NA,NA,NA,NA,NA,NA
James,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Julia,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Liam,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Stacey,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Yan,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Antony,9,1,NA,NA,NA,NA,NA,NA,12,IN
Briony,9,1,NA,NA,NA,NA,NA,NA,2,IN
Dan,9,1,NA,NA,NA,NA,NA,NA,4,IN
Jon,9,1,NA,NA,NA,NA,NA,NA,5,IN
Karen,9,1,NA,NA,NA,NA,NA,NA,6,IN
Kim-Joy,9,1,NA,NA,NA,NA,NA,NA,10,IN
Luke,9,1,NA,NA,NA,NA,NA,NA,8,IN
Rahul,9,1,NA,NA,NA,NA,NA,NA,7,IN
Ruby,9,1,NA,NA,NA,NA,NA,NA,1,IN
Terry,9,1,NA,NA,NA,NA,NA,NA,9,IN
Imelda,9,1,NA,NA,NA,NA,NA,NA,11,OUT
Manon,9,1,NA,NA,NA,NA,NA,NA,3,STAR BAKER
Antony,9,2,NA,NA,NA,NA,NA,NA,9,IN
Briony,9,2,NA,NA,NA,NA,NA,NA,5,IN
Dan,9,2,NA,NA,NA,NA,NA,NA,3,IN
Jon,9,2,NA,NA,NA,NA,NA,NA,1,IN
Karen,9,2,NA,NA,NA,NA,NA,NA,11,IN
Kim-Joy,9,2,NA,NA,NA,NA,NA,NA,4,IN
Manon,9,2,NA,NA,NA,NA,NA,NA,6,IN
Ruby,9,2,NA,NA,NA,NA,NA,NA,10,IN
Terry,9,2,NA,NA,NA,NA,NA,NA,8,IN
Luke,9,2,NA,NA,NA,NA,NA,NA,7,OUT
Rahul,9,2,NA,NA,NA,NA,NA,NA,2,STAR BAKER
Imelda,9,2,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,3,NA,NA,NA,NA,NA,NA,9,IN
Dan,9,3,NA,NA,NA,NA,NA,NA,6,IN
Jon,9,3,NA,NA,NA,NA,NA,NA,2,IN
Karen,9,3,NA,NA,NA,NA,NA,NA,5,IN
Kim-Joy,9,3,NA,NA,NA,NA,NA,NA,10,IN
Manon,9,3,NA,NA,NA,NA,NA,NA,3,IN
Ruby,9,3,NA,NA,NA,NA,NA,NA,7,IN
Terry,9,3,NA,NA,NA,NA,NA,NA,1,IN
Antony,9,3,NA,NA,NA,NA,NA,NA,8,OUT
Rahul,9,3,NA,NA,NA,NA,NA,NA,4,STAR BAKER
Imelda,9,3,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,3,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,4,NA,NA,NA,NA,NA,NA,NA,[a]
Briony,9,4,NA,NA,NA,NA,NA,NA,5,IN
Jon,9,4,NA,NA,NA,NA,NA,NA,3,IN
Karen,9,4,NA,NA,NA,NA,NA,NA,7,IN
Kim-Joy,9,4,NA,NA,NA,NA,NA,NA,6,IN
Manon,9,4,NA,NA,NA,NA,NA,NA,8,IN
Rahul,9,4,NA,NA,NA,NA,NA,NA,4,IN
Ruby,9,4,NA,NA,NA,NA,NA,NA,2,IN
Dan,9,4,NA,NA,NA,NA,NA,NA,1,STAR BAKER
Antony,9,4,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,4,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,4,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,5,NA,NA,NA,NA,NA,NA,6,IN
Dan,9,5,NA,NA,NA,NA,NA,NA,2,IN
Jon,9,5,NA,NA,NA,NA,NA,NA,7,IN
Manon,9,5,NA,NA,NA,NA,NA,NA,5,IN
Rahul,9,5,NA,NA,NA,NA,NA,NA,3,IN
Ruby,9,5,NA,NA,NA,NA,NA,NA,1,IN
Karen,9,5,NA,NA,NA,NA,NA,NA,9,OUT
Terry,9,5,NA,NA,NA,NA,NA,NA,8,OUT
Kim-Joy,9,5,NA,NA,NA,NA,NA,NA,4,STAR BAKER
Antony,9,5,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,5,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,5,NA,NA,NA,NA,NA,NA,NA,NA
Jon,9,6,NA,NA,NA,NA,NA,NA,2,IN
Kim-Joy,9,6,NA,NA,NA,NA,NA,NA,5,IN
Manon,9,6,NA,NA,NA,NA,NA,NA,4,IN
Rahul,9,6,NA,NA,NA,NA,NA,NA,3,IN
Ruby,9,6,NA,NA,NA,NA,NA,NA,7,IN
Dan,9,6,NA,NA,NA,NA,NA,NA,6,OUT
Briony,9,6,NA,NA,NA,NA,NA,NA,1,STAR BAKER
Antony,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,7,NA,NA,NA,NA,NA,NA,5,IN
Manon,9,7,NA,NA,NA,NA,NA,NA,2,IN
Rahul,9,7,NA,NA,NA,NA,NA,NA,1,IN
Ruby,9,7,NA,NA,NA,NA,NA,NA,3,IN
Jon,9,7,NA,NA,NA,NA,NA,NA,4,OUT
Kim-Joy,9,7,NA,NA,NA,NA,NA,NA,6,STAR BAKER
Antony,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Dan,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,8,NA,NA,NA,NA,NA,NA,1,IN
Kim-Joy,9,8,NA,NA,NA,NA,NA,NA,2,IN
Rahul,9,8,NA,NA,NA,NA,NA,NA,5,IN
Manon,9,8,NA,NA,NA,NA,NA,NA,4,OUT
Ruby,9,8,NA,NA,NA,NA,NA,NA,3,STAR BAKER
Antony,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Dan,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Jon,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Kim-Joy,9,9,NA,NA,NA,NA,NA,NA,2,IN
Rahul,9,9,NA,NA,NA,NA,NA,NA,4,IN
Briony,9,9,NA,NA,NA,NA,NA,NA,3,OUT
Ruby,9,9,NA,NA,NA,NA,NA,NA,1,STAR BAKER
Antony,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Dan,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Jon,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Manon,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Kim-Joy,9,10,NA,NA,NA,NA,NA,NA,1,Runner-up
Ruby,9,10,NA,NA,NA,NA,NA,NA,3,Runner-up
Rahul,9,10,NA,NA,NA,NA,NA,NA,2,WINNER
Antony,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Dan,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Jon,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Manon,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,1,NA,NA,NA,NA,NA,NA,5,IN
Amelia,10,1,NA,NA,NA,NA,NA,NA,4,IN
David,10,1,NA,NA,NA,NA,NA,NA,10,IN
Helena,10,1,NA,NA,NA,NA,NA,NA,12,IN
Henry,10,1,NA,NA,NA,NA,NA,NA,1,IN
Jamie,10,1,NA,NA,NA,NA,NA,NA,13,IN
Michael,10,1,NA,NA,NA,NA,NA,NA,11,IN
Phil,10,1,NA,NA,NA,NA,NA,NA,8,IN
Priya,10,1,NA,NA,NA,NA,NA,NA,7,IN
Rosie,10,1,NA,NA,NA,NA,NA,NA,2,IN
Steph,10,1,NA,NA,NA,NA,NA,NA,3,IN
Dan,10,1,NA,NA,NA,NA,NA,NA,9,OUT
Michelle,10,1,NA,NA,NA,NA,NA,NA,6,STAR BAKER
Amelia,10,2,NA,NA,NA,NA,NA,NA,9,IN
David,10,2,NA,NA,NA,NA,NA,NA,2,IN
Helena,10,2,NA,NA,NA,NA,NA,NA,12,IN
Henry,10,2,NA,NA,NA,NA,NA,NA,6,IN
Michael,10,2,NA,NA,NA,NA,NA,NA,4,IN
Michelle,10,2,NA,NA,NA,NA,NA,NA,8,IN
Phil,10,2,NA,NA,NA,NA,NA,NA,3,IN
Priya,10,2,NA,NA,NA,NA,NA,NA,7,IN
Rosie,10,2,NA,NA,NA,NA,NA,NA,5,IN
Steph,10,2,NA,NA,NA,NA,NA,NA,10,IN
Jamie,10,2,NA,NA,NA,NA,NA,NA,11,OUT
Alice,10,2,NA,NA,NA,NA,NA,NA,1,STAR BAKER
Dan,10,2,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,3,NA,NA,NA,NA,NA,NA,7,IN
David,10,3,NA,NA,NA,NA,NA,NA,2,IN
Helena,10,3,NA,NA,NA,NA,NA,NA,8,IN
Henry,10,3,NA,NA,NA,NA,NA,NA,1,IN
Michelle,10,3,NA,NA,NA,NA,NA,NA,5,IN
Phil,10,3,NA,NA,NA,NA,NA,NA,10,IN
Priya,10,3,NA,NA,NA,NA,NA,NA,4,IN
Rosie,10,3,NA,NA,NA,NA,NA,NA,9,IN
Steph,10,3,NA,NA,NA,NA,NA,NA,3,IN
Amelia,10,3,NA,NA,NA,NA,NA,NA,11,OUT
Michael,10,3,NA,NA,NA,NA,NA,NA,6,STAR BAKER
Dan,10,3,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,3,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,4,NA,NA,NA,NA,NA,NA,8,IN
David,10,4,NA,NA,NA,NA,NA,NA,2,IN
Helena,10,4,NA,NA,NA,NA,NA,NA,9,IN
Henry,10,4,NA,NA,NA,NA,NA,NA,3,IN
Michael,10,4,NA,NA,NA,NA,NA,NA,7,IN
Michelle,10,4,NA,NA,NA,NA,NA,NA,5,IN
Priya,10,4,NA,NA,NA,NA,NA,NA,10,IN
Rosie,10,4,NA,NA,NA,NA,NA,NA,4,IN
Phil,10,4,NA,NA,NA,NA,NA,NA,6,OUT
Steph,10,4,NA,NA,NA,NA,NA,NA,1,STAR BAKER
Amelia,10,4,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,4,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,4,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,5,NA,NA,NA,NA,NA,NA,6,IN
David,10,5,NA,NA,NA,NA,NA,NA,9,IN
Henry,10,5,NA,NA,NA,NA,NA,NA,3,IN
Michael,10,5,NA,NA,NA,NA,NA,NA,8,IN
Priya,10,5,NA,NA,NA,NA,NA,NA,2,IN
Rosie,10,5,NA,NA,NA,NA,NA,NA,5,IN
Helena,10,5,NA,NA,NA,NA,NA,NA,1,OUT
Michelle,10,5,NA,NA,NA,NA,NA,NA,7,OUT
Steph,10,5,NA,NA,NA,NA,NA,NA,4,STAR BAKER
Amelia,10,5,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,5,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,5,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,5,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,6,NA,NA,NA,NA,NA,NA,1,IN
David,10,6,NA,NA,NA,NA,NA,NA,2,IN
Henry,10,6,NA,NA,NA,NA,NA,NA,4,IN
Michael,10,6,NA,NA,NA,NA,NA,NA,6,IN
Rosie,10,6,NA,NA,NA,NA,NA,NA,5,IN
Priya,10,6,NA,NA,NA,NA,NA,NA,7,OUT
Steph,10,6,NA,NA,NA,NA,NA,NA,3,STAR BAKER
Amelia,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Helena,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Michelle,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,7,NA,NA,NA,NA,NA,NA,6,IN
David,10,7,NA,NA,NA,NA,NA,NA,2,IN
Rosie,10,7,NA,NA,NA,NA,NA,NA,1,IN
Steph,10,7,NA,NA,NA,NA,NA,NA,4,IN
Michael,10,7,NA,NA,NA,NA,NA,NA,5,OUT
Henry,10,7,NA,NA,NA,NA,NA,NA,3,STAR BAKER
Amelia,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Helena,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Michelle,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Priya,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,8,NA,NA,NA,NA,NA,NA,3,IN
David,10,8,NA,NA,NA,NA,NA,NA,1,IN
Rosie,10,8,NA,NA,NA,NA,NA,NA,2,IN
Henry,10,8,NA,NA,NA,NA,NA,NA,5,OUT
Steph,10,8,NA,NA,NA,NA,NA,NA,4,STAR BAKER
Amelia,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Helena,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Michael,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Michelle,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Priya,10,8,NA,NA,NA,NA,NA,NA,NA,NA
David,10,9,NA,NA,NA,NA,NA,NA,2,IN
Steph,10,9,NA,NA,NA,NA,NA,NA,3,IN
Rosie,10,9,NA,NA,NA,NA,NA,NA,1,OUT
Alice,10,9,NA,NA,NA,NA,NA,NA,4,STAR BAKER
Amelia,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Helena,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Henry,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Michael,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Michelle,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Priya,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,10,NA,NA,NA,NA,NA,NA,2,Runner-up
Steph,10,10,NA,NA,NA,NA,NA,NA,3,Runner-up
David,10,10,NA,NA,NA,NA,NA,NA,1,WINNER
Amelia,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Helena,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Henry,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Michael,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Michelle,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Priya,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Rosie,10,10,NA,NA,NA,NA,NA,NA,NA,NA
